,prosumer_generation_kw,prosumer_total_demand_kw,prosumer_base_demand_kw,community_supply_kw,community_demand_kw,battery_charge_discharge_kw,net_grid_trade_kw,battery_soc_kwh
2023-01-01 00:00:00,0.0147493608948359,0.1157290331266838,2.273604207551384,8.292592033120336,1044.0,-0.5720940212734908,-3.0147715932859313e-06,4.427905978726509
2023-01-01 00:15:00,0.017019349742061,0.0909479641209305,2.193842729098999,8.292592033120336,1000.0,-0.5563601206884579,-3.014638996006015e-06,3.8715458580380515
2023-01-01 00:30:00,0.0168240266701474,0.0794917935457555,2.182318125012289,8.292592033120336,948.0000000000001,-0.5520632139011126,-3.0144958583246988e-06,3.3194826441369387
2023-01-01 00:45:00,0.0179533874229429,0.0799491418235043,2.2453885394812736,8.292592033120336,936.0,-0.5645761725829656,-3.0143709201780826e-06,2.7549064715539733
2023-01-01 01:00:00,0.0594920219204537,0.0687469008074634,2.2780749931596014,29.469950472180464,944.0000000000001,0.6903784542851952,-1.250003009008893,3.4452849258391685
2023-01-01 01:15:00,0.0571124649927519,0.0746867705894876,2.2204669203100913,29.469950472180464,960.0,0.6562505591678855,-1.2500030088988032,4.101535485007054
2023-01-01 01:30:00,0.0692809708845015,0.0914963563507502,2.328866554418739,29.469950472180464,920.0,0.3664294925970551,-1.2500030086578324,4.467964977604109
2023-01-01 01:45:00,0.0489472157134195,0.0850337181473404,2.2713416875308194,29.469950472180464,976.0,0.21256757295566767,-1.2500030086386722,4.680532550559777
2023-01-01 02:00:00,0.0603267594310891,0.0895101040202706,2.231707249737135,32.16165101545751,948.0000000000001,0.12784703374461343,-1.2500030080844373,4.80837958430439
2023-01-01 02:15:00,0.0743336371550942,0.0910490490100159,2.214443171805964,32.16165101545751,920.0,0.08006813538882135,-1.2500030076832431,4.888447719693211
2023-01-01 02:30:00,0.0684360080363525,0.0789537489782722,2.2049301250911415,32.16165101545751,884.0,0.0529178935245812,-1.2500030071197954,4.941365613217792
2023-01-01 02:45:00,0.064812507024548,0.0772791497203077,2.279937333406876,32.16165101545751,880.0,0.034810422043146425,-1.250003006472757,4.976176035260939
2023-01-01 03:00:00,0.0278951612434489,0.05,2.223473218388575,14.509913090551313,628.0,0.03054837604143546,-1.2500030066595529,5.0067244113023746
2023-01-01 03:15:00,0.0276674303179018,0.0565844809419541,2.1498222925989143,14.509913090551313,612.0,0.03611536296501197,-1.2500030051291673,5.042839774267387
2023-01-01 03:30:00,0.0302580537618507,0.0654182810621593,2.215595233532993,14.509913090551313,636.0,0.041461966677461944,-1.250003003010902,5.0843017409448485
2023-01-01 03:45:00,0.0299627746351212,0.05,2.2816762323071123,14.509913090551313,608.0,0.05463812962225176,-1.250002999601246,5.1389398705671
2023-01-01 04:00:00,0.015449923391147,0.05,2.1736953131611285,8.463570285573724,520.0,-0.06170108942679941,-0.6675119195316878,5.0772387811403
2023-01-01 04:15:00,0.0152028535207302,0.05,2.172326856155069,8.463570285573724,524.0,0.10140140901288644,-1.250003018967423,5.178640190153187
2023-01-01 04:30:00,0.0188748434413693,0.05,2.241546855477105,8.463570285573724,488.0,0.13040750215367786,-1.2500030437025944,5.309047692306865
2023-01-01 04:45:00,0.0189439121131249,0.05,2.2416005468611333,8.463570285573724,480.0,0.18541945321969197,-1.2500030739749959,5.494467145526557
2023-01-01 05:00:00,0.0265892765062235,0.05,2.261539149290723,11.617834877129054,480.0,0.2705358269665242,-1.2500031141821286,5.765002972493082
2023-01-01 05:15:00,0.0218368541676637,0.05,2.303337661700626,11.617834877129054,484.0,0.39745078197384215,-1.2500031718781786,6.162453754466924
2023-01-01 05:30:00,0.0249141873011152,0.05,2.2790442598416347,11.617834877129054,500.0,0.5912704902155977,-1.2500032552938753,6.753724244682521
2023-01-01 05:45:00,0.0234229788660538,0.05,2.256994951977486,11.617834877129054,492.0,0.6916132726050843,-1.2500047435125567,7.445337517287606
2023-01-01 06:00:00,0.0374420569857545,0.05,0.3348151018687543,16.48218086387953,464.0,-0.07433588598258871,-5.4046379578659585e-06,7.371001631305017
2023-01-01 06:15:00,0.0352366140671228,0.05,0.25716179004326145,16.48218086387953,476.00000000000006,-0.05547301398065667,-5.8896663332791315e-06,7.315528617324361
2023-01-01 06:30:00,0.0344093179247331,0.05,0.26470966306917826,16.48218086387953,468.0,-0.057565953118650696,-6.347003214739156e-06,7.25796266420571
2023-01-01 06:45:00,0.0323513402013957,0.05,0.23875448269000918,16.48218086387953,472.00000000000006,-0.05159084889615938,-6.777907572326497e-06,7.20637181530955
2023-01-01 07:00:00,0.0268690777845503,0.05,0.2514770613733396,14.509913090551313,480.0,-0.05614130456363379,-7.182928270201383e-06,7.150230510745917
2023-01-01 07:15:00,0.0277442010954859,0.05,0.3170353479131461,14.509913090551313,476.00000000000006,-0.07231139051609474,-7.561070082285436e-06,7.077919120229822
2023-01-01 07:30:00,0.0290384078008641,0.05,0.2122875157576757,14.509913090551313,456.0,-0.04580022558821835,-7.912651048930799e-06,7.032118894641604
2023-01-01 07:45:00,0.0321632352828151,0.05,0.27868829189831373,14.509913090551313,484.0,-0.06161860767224697,-8.237658444239632e-06,6.970500286969358
2023-01-01 08:00:00,0.0245234756221198,0.05,0.2781365510833508,11.16325666013485,540.0,-0.0633900601331169,-8.534874128673369e-06,6.907110226836241
2023-01-01 08:15:00,0.0217631800384073,0.05,0.29034819558676483,11.16325666013485,472.00000000000006,-0.06713255126649267,-8.800070550657368e-06,6.839977675569748
2023-01-01 08:30:00,0.0210619842854748,0.05,0.27715831981693057,11.16325666013485,400.0,-0.06400994696846427,-9.033251250136442e-06,6.775967728601284
2023-01-01 08:45:00,0.0236482845207825,0.05,0.25508233216485987,11.16325666013485,324.0,-0.05784400303492571,-9.232864684948247e-06,6.7181237255663575
2023-01-01 09:00:00,0.0163486719654886,0.05,0.3258555487443953,9.406689200451563,404.0,-0.07736190070233456,-9.400112561139157e-06,6.640761824864024
2023-01-01 09:15:00,0.0176144853211583,0.05,0.4166401451887435,9.406689200451563,376.0,-0.09974135654625281,-9.529104469699425e-06,6.541020468317771
2023-01-01 09:30:00,0.0189300316762608,0.05,0.42650917727992693,9.406689200451563,368.0,-0.10187955862585997,-9.62018836618735e-06,6.43914090969191
2023-01-01 09:45:00,0.0158885139781995,0.0526849347001781,0.3405286821203956,9.406689200451563,500.0,-0.08114471629708114,-9.67325851056038e-06,6.357996193394829
2023-01-01 10:00:00,0.0119269229399785,0.05,0.3642661087154481,5.81219027683872,516.0,-0.08806944495943551,-9.68743219775252e-06,6.2699267484353935
2023-01-01 10:15:00,0.0123531407398608,0.05,0.2654541024042505,5.81219027683872,508.0,-0.06325993589676722,-9.661887989292267e-06,6.206666812538627
2023-01-01 10:30:00,0.0107056739267223,0.05,0.3046549184508229,5.81219027683872,516.0,-0.0734721222529866,-9.59927236688966e-06,6.13319469028564
2023-01-01 10:45:00,0.0115518435129189,0.0503205471406522,0.3236152569016606,5.81219027683872,548.0,-0.07800084514324883,-9.501535238233196e-06,6.055193845142392
2023-01-01 11:00:00,0.0026762230113771,0.0571789905151524,0.41137623068060947,1.4857234033009021,684.0,-0.10216023279506009,-9.372682638521352e-06,5.9530336123473315
2023-01-01 11:15:00,0.0027821867543311,0.0554868362707417,0.29166422600498404,1.4857234033009021,684.0,-0.07220603379320432,-9.214075452658698e-06,5.880827578554127
2023-01-01 11:30:00,0.0023293316343428,0.05,0.3368737977705361,1.4857234033009021,676.0,-0.083621977182264,-9.031876088680387e-06,5.7972056013718625
2023-01-01 11:45:00,0.0033969685976649,0.0634976283466589,0.43455662167312104,1.4857234033009021,696.0000000000001,-0.107776144418237,-8.831357783167277e-06,5.689429456953626
2023-01-01 12:00:00,0.0020802156056261,0.05,0.34395925372952835,1.015347557441476,680.0,0.008731729119081525,-0.09420046893897305,5.698161186072707
2023-01-01 12:15:00,0.0021559140390594,0.0610945461779095,0.3621165297656129,1.015347557441476,728.0,0.8593005501340222,-0.9492894992966409,6.557461736206729
2023-01-01 12:30:00,0.0020267624588778,0.0565949085538172,0.266428017937522,1.015347557441476,752.0,1.1839156237894128,-1.2500099213965832,7.741377359996142
2023-01-01 12:45:00,0.0019550695588233,0.0506870671317641,0.40360702921833447,1.015347557441476,688.0,1.149604882213836,-1.250010957049588,8.89098224220998
2023-01-01 13:00:00,0.0012548497656858,0.056841596637058,0.3602048821697844,0.726523748929154,672.0,-0.08971756021578664,-1.2136088164329035e-05,8.801264681994192
2023-01-01 13:15:00,0.001516321752442,0.0659164955929187,0.34893215273617767,0.726523748929154,668.0,-0.0868320984124685,-1.3159610121212908e-05,8.714432583581724
2023-01-01 13:30:00,0.0013251180223092,0.0533998565343385,0.30960749749710365,0.726523748929154,664.0,-0.07704682887102289,-1.4180724232755886e-05,8.6373857547107
2023-01-01 13:45:00,0.001384828266788,0.0523464265291959,0.3020959153490619,0.726523748929154,684.0,-0.07515210017316545,-1.520145039641118e-05,8.562233654537534
2023-01-01 14:00:00,0.0041334327440157,0.0617420606604228,0.3240421235610377,2.076362359575887,656.0,-0.0799495943158479,-1.6222878787012664e-05,8.482284060221687
2023-01-01 14:15:00,0.0043170666825051,0.0503644386668645,0.37541359511812933,2.076362359575887,640.0,-0.09274464371109245,-1.7246361810111098e-05,8.389539416510594
2023-01-01 14:30:00,0.0037529996084651,0.0676786111641184,0.41315439230367845,2.076362359575887,676.0,-0.10231894650828056,-1.82718102492178e-05,8.287220470002314
